"id","page_id","data_type_code"
5842,46937,"PDF"
5867,84461,"PDF"
6080,78448,"CSV;CHARSET=UTF-8"
6103,60618,"CSV;CHARSET=UTF-8"
6107,60749,"JPEG"
6116,61651,"PDF"
6117,78661,"PDF"
6127,45300,"PNG"
6131,77540,"CSV;CHARSET=UTF-8"
6134,71044,"PDF"
6141,48285,"DOC"
6148,86314,"PDF"
6178,53474,"ZIP"
6181,86909,"PDF"
6183,76185,"X-RSS+XML"
6207,86383,"CALENDAR"
6208,64583,"DOC"
6227,69340,"XML"
6231,60333,"PDF"
6243,36469,"PDF"
6250,36850,"PDF"
6255,61903,"PDF"
6257,49021,"PDF"
6258,59194,"VND.MS-EXCEL"
6300,60334,"PDF"
6313,82346,"DOC"
6315,66997,"PDF"
6322,80185,"DOC"
6327,74681,"DOC"
6328,49046,"PDF"
503,37073,"MSWORD"
515,26286,"DOC"
